Date,Open,High,Low,Close,Volume,Adj Close
2005-04-27,88.470001,88.470001,86.32,88.050003,7964800,32.117493
2005-04-28,88.050003,88.279999,86.389999,86.699997,5692800,31.625059
2005-04-29,87.599998,88.25,86.029999,88.050003,5593000,32.117493
2005-05-02,88.220001,88.43,87.260002,88.400002,3590200,32.24516
2005-05-03,88.400002,88.650002,87.220001,87.580002,5118800,31.946053
2005-05-04,87.830002,89.68,87.830002,89.419998,3899000,32.617218
2005-05-05,89.419998,90.269997,89.300003,89.849998,4534600,32.774067
2005-05-06,90.650002,91.260002,90.050003,90.160004,4641600,32.887146
2005-05-09,90.160004,90.699997,89.970001,90.279999,3009400,32.930915
2005-05-10,90.099998,90.099998,89.349998,89.650002,4095600,32.701115
2005-05-11,89.800003,91.129997,89.099998,90.900002,4582400,33.15707
2005-05-12,90.949997,91.300003,88.800003,88.879997,7339200,32.420245
2005-05-13,89.00,90.220001,88.540001,89.00,6188800,32.464018
2005-05-16,89.010002,90.550003,88.699997,90.379997,3781200,32.967391
2005-05-17,90.629997,92.059998,90.099998,91.959999,4603800,33.543719
2005-05-18,92.00,94.00,92.00,93.519997,4985000,34.112751
2005-05-19,93.489998,93.800003,92.800003,93.50,2762400,34.105457
2005-05-20,93.849998,93.849998,92.699997,93.629997,2633400,34.152875
2005-05-23,93.550003,94.739998,93.550003,94.040001,2723600,34.30243
2005-05-24,94.00,94.040001,93.150002,93.830002,2201800,34.22583
2005-05-25,93.300003,93.419998,92.120003,92.470001,3393200,33.72975
2005-05-26,92.720001,94.470001,92.720001,94.43,2630800,34.444688
2005-05-27,94.400002,94.559998,93.589996,94.309998,1785400,34.400915
2005-05-31,94.32,94.970001,93.550003,94.110001,3546400,34.327963
2005-06-01,93.949997,96.550003,93.800003,95.470001,4999200,34.824043
2005-06-02,95.489998,96.00,94.900002,95.18,2719000,34.718261
2005-06-03,95.050003,95.599998,93.75,93.970001,3270400,34.276896
2005-06-06,94.160004,94.919998,93.82,94.150002,2420000,34.342554
2005-06-07,94.220001,95.910004,94.080002,94.529999,3284200,34.481163
2005-06-08,95.68,96.910004,95.50,96.580002,7868800,35.228931
2005-06-09,96.949997,98.580002,96.790001,97.449997,5370000,35.546274
2005-06-10,97.849998,98.050003,96.25,97.019997,4947600,35.389426
2005-06-13,97.050003,99.050003,96.660004,97.580002,4168400,35.593696
2005-06-14,97.599998,98.910004,97.279999,98.57,3807800,35.954811
2005-06-15,98.580002,98.949997,97.379997,98.580002,3306600,35.95846
2005-06-16,98.900002,99.059998,97.830002,98.309998,4154600,35.859972
2005-06-17,99.00,100.839996,98.50,100.199997,7572800,36.549376
2005-06-20,100.00,101.349998,99.480003,100.800003,4240600,36.768237
